epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.5596,0.83642,2.34426,1.24769,0.37408,0.11855,0.44693,0.35162,0.5633,2.94611,0.90852,0.00045009,0.00045009,0.00045009
2,195.017,0.76151,1.50127,1.11175,0.72382,0.69564,0.69282,0.54568,0.88607,2.4738,1.17078,0.000907773,0.000907773,0.000907773
3,289.533,0.75824,1.34122,1.10942,0.75185,0.78507,0.83708,0.64103,0.75345,1.84101,1.12817,0.00135621,0.00135621,0.00135621
4,383.214,0.75728,1.20096,1.10626,0.62055,0.65805,0.69844,0.45348,1.0259,1.97346,1.36471,0.00161749,0.00161749,0.00161749
5,477.381,0.75254,1.09344,1.09419,0.72183,0.44055,0.52343,0.36671,0.83938,2.03156,1.20749,0.00160099,0.00160099,0.00160099
6,570.85,0.74888,1.00488,1.09818,0.59349,0.76882,0.73672,0.45027,1.03546,2.11306,1.36843,0.00158448,0.00158448,0.00158448
7,666.039,0.74025,0.9404,1.08007,0.7558,0.75664,0.79743,0.59652,0.80953,1.97211,1.1176,0.00156798,0.00156798,0.00156798
8,762.073,0.73793,0.95756,1.08829,0.61624,0.46459,0.59101,0.39139,0.96444,2.02964,1.22828,0.00155148,0.00155148,0.00155148
9,858.751,0.75966,0.89083,1.08235,0.72135,0.70228,0.88724,0.67376,0.83816,1.66159,1.15669,0.00153497,0.00153497,0.00153497
10,957.241,0.72426,0.8182,1.06743,0.77266,0.82021,0.8703,0.67477,0.82974,1.01316,1.09896,0.00151847,0.00151847,0.00151847
11,1053.02,0.67568,0.73971,1.03896,0.87331,0.89785,0.93797,0.76618,0.70105,0.87158,1.01284,0.00150197,0.00150197,0.00150197
12,1149.38,0.67582,0.72284,1.04386,0.97084,0.98925,0.99113,0.84537,0.61428,0.66611,0.93349,0.00148546,0.00148546,0.00148546
13,1250.75,0.65265,0.70803,1.03395,0.87447,0.82255,0.8975,0.73529,0.67991,0.86303,0.94521,0.00146896,0.00146896,0.00146896
14,1353.4,0.68424,0.72633,1.03928,0.86504,0.92971,0.95892,0.79303,0.70273,0.69084,0.9761,0.00145246,0.00145246,0.00145246
15,1457.47,0.67619,0.68704,1.03499,0.93869,0.84435,0.97337,0.78726,0.65028,0.80292,0.95451,0.00143595,0.00143595,0.00143595
16,1557.85,0.64003,0.64172,1.03601,0.90351,0.9233,0.97443,0.83282,0.6211,0.70269,0.89076,0.00141945,0.00141945,0.00141945
17,1656.77,0.62408,0.63741,1.02061,0.83118,0.91853,0.97204,0.80273,0.6403,0.81109,0.91934,0.00140295,0.00140295,0.00140295
18,1758.86,0.6281,0.60069,1.00816,0.95881,0.98343,0.98349,0.84925,0.55816,0.5045,0.84481,0.00138644,0.00138644,0.00138644
19,1856.45,0.61847,0.55506,1.00502,0.87901,0.87056,0.88755,0.72359,0.64636,0.8414,0.96213,0.00136994,0.00136994,0.00136994
20,1950.9,0.6103,0.52967,1.00082,0.83515,0.8564,0.90966,0.73932,0.567,0.71523,0.87647,0.00135344,0.00135344,0.00135344
21,2045.44,0.59876,0.54484,1.00155,0.97291,0.93532,0.98667,0.85828,0.53174,0.46501,0.84442,0.00133693,0.00133693,0.00133693
22,2139.78,0.60972,0.53506,0.99679,0.93816,0.98479,0.99074,0.86052,0.59322,0.57508,0.8803,0.00132043,0.00132043,0.00132043
23,2233.99,0.57973,0.5106,0.99778,0.91324,0.9489,0.96633,0.81076,0.65402,0.52915,0.93114,0.00130393,0.00130393,0.00130393
24,2328.4,0.58843,0.52135,0.98902,0.82529,0.88947,0.88202,0.75081,0.65751,0.91321,1.0089,0.00128742,0.00128742,0.00128742
25,2422.9,0.59403,0.51489,0.99941,0.9415,0.9763,0.99351,0.84888,0.56115,0.48386,0.87094,0.00127092,0.00127092,0.00127092
26,2516.94,0.58573,0.50059,0.99787,0.98981,1,0.995,0.9163,0.46926,0.37483,0.79695,0.00125442,0.00125442,0.00125442
27,2611.21,0.56431,0.47691,0.98774,0.86651,0.80309,0.87365,0.78005,0.55038,0.75487,0.87689,0.00123791,0.00123791,0.00123791
28,2705.54,0.57488,0.45684,0.99005,0.99817,0.99802,0.995,0.89238,0.4954,0.38107,0.82783,0.00122141,0.00122141,0.00122141
29,2799.67,0.54823,0.45561,0.9845,0.98562,0.96913,0.99079,0.87821,0.55685,0.40866,0.87852,0.00120491,0.00120491,0.00120491
30,2893.82,0.5559,0.47529,0.97168,0.9884,0.99462,0.99495,0.90916,0.4785,0.36259,0.81115,0.0011884,0.0011884,0.0011884
31,2988.38,0.58358,0.4668,0.98661,0.97942,0.99609,0.99095,0.8741,0.53715,0.36928,0.84105,0.0011719,0.0011719,0.0011719
32,3082.87,0.55304,0.4417,0.98,0.98635,0.97411,0.99347,0.89579,0.50331,0.37263,0.82361,0.0011554,0.0011554,0.0011554
33,3176.95,0.54113,0.44538,0.99651,0.97114,0.99832,0.99436,0.903,0.47681,0.35523,0.82527,0.00113889,0.00113889,0.00113889
34,3271.04,0.5275,0.4423,0.96874,0.96545,0.99917,0.99382,0.90283,0.46037,0.36041,0.80557,0.00112239,0.00112239,0.00112239
35,3364.97,0.54186,0.43801,0.98257,0.94947,0.93257,0.98612,0.89054,0.4815,0.41608,0.81487,0.00110589,0.00110589,0.00110589
36,3458.88,0.53168,0.42429,0.97655,0.9956,0.99974,0.995,0.91202,0.48388,0.33332,0.80777,0.00108938,0.00108938,0.00108938
37,3553.3,0.50884,0.40431,0.96233,0.93987,0.85154,0.88084,0.78938,0.50845,0.57336,0.82358,0.00107288,0.00107288,0.00107288
38,3648.41,0.52086,0.42143,0.96829,0.96765,0.9372,0.96566,0.87417,0.51155,0.38873,0.83039,0.00105638,0.00105638,0.00105638
39,3743.87,0.51628,0.38935,0.9616,0.98368,0.99462,0.9868,0.89658,0.48847,0.36096,0.80264,0.00103987,0.00103987,0.00103987
40,3838.68,0.50044,0.38352,0.95225,0.96466,0.99462,0.98766,0.90866,0.46161,0.34918,0.79693,0.00102337,0.00102337,0.00102337
41,3932.77,0.50488,0.38263,0.96308,0.99847,1,0.995,0.91566,0.4682,0.30896,0.80092,0.00100687,0.00100687,0.00100687
42,4026.82,0.51695,0.38773,0.95576,0.96926,0.9878,0.99439,0.91724,0.45474,0.34168,0.78446,0.000990365,0.000990365,0.000990365
43,4120.57,0.49403,0.37891,0.96064,0.99821,1,0.995,0.91291,0.44364,0.29188,0.78942,0.000973861,0.000973861,0.000973861
44,4214.19,0.5032,0.38667,0.95763,0.96781,0.93902,0.97322,0.90079,0.45395,0.39953,0.79532,0.000957358,0.000957358,0.000957358
45,4307.92,0.51188,0.37041,0.95479,0.99835,1,0.995,0.91475,0.47066,0.29999,0.80687,0.000940855,0.000940855,0.000940855
46,4401.89,0.49611,0.3832,0.96234,0.98296,1,0.995,0.90694,0.45062,0.3205,0.80774,0.000924352,0.000924352,0.000924352
47,4495.7,0.50828,0.39057,0.96532,0.98509,0.99462,0.99328,0.92136,0.42593,0.28494,0.77766,0.000907848,0.000907848,0.000907848
48,4592.1,0.48325,0.37952,0.95652,0.99507,1,0.995,0.91636,0.46188,0.29454,0.80437,0.000891345,0.000891345,0.000891345
49,4685.8,0.48703,0.37495,0.94791,0.9973,1,0.995,0.92204,0.44625,0.27428,0.78453,0.000874842,0.000874842,0.000874842
50,4779.79,0.48398,0.34515,0.94352,0.98431,0.9519,0.98782,0.91274,0.45974,0.37106,0.79635,0.000858338,0.000858338,0.000858338
51,4873.92,0.48617,0.36036,0.9441,0.99791,1,0.995,0.909,0.42908,0.28364,0.79814,0.000841835,0.000841835,0.000841835
52,4967.85,0.46447,0.34665,0.93368,0.9825,0.99146,0.99432,0.91341,0.48819,0.41802,0.83691,0.000825332,0.000825332,0.000825332
53,5066.58,0.48517,0.3463,0.93833,0.97955,0.98561,0.99239,0.91332,0.46251,0.31418,0.7956,0.000808828,0.000808828,0.000808828
54,5166.66,0.46596,0.33379,0.9432,0.98054,0.96341,0.98537,0.91718,0.44022,0.31624,0.79812,0.000792325,0.000792325,0.000792325
55,5267.57,0.46701,0.34055,0.94371,0.97261,1,0.995,0.94059,0.38657,0.25906,0.75566,0.000775822,0.000775822,0.000775822
56,5368.57,0.4502,0.33223,0.91476,0.99807,1,0.995,0.92688,0.41574,0.25623,0.77469,0.000759318,0.000759318,0.000759318
57,5463.99,0.44897,0.33201,0.93393,0.9675,0.93902,0.97607,0.91812,0.40552,0.31546,0.75679,0.000742815,0.000742815,0.000742815
58,5557.97,0.44195,0.31449,0.92555,0.95434,0.95122,0.97454,0.90879,0.38573,0.35217,0.75736,0.000726312,0.000726312,0.000726312
59,5651.75,0.45452,0.32391,0.93333,0.99827,1,0.995,0.93461,0.40582,0.23889,0.77103,0.000709809,0.000709809,0.000709809
60,5745.69,0.43475,0.3249,0.9326,0.99211,1,0.995,0.93403,0.40443,0.2543,0.76725,0.000693305,0.000693305,0.000693305
61,5840.07,0.43085,0.31048,0.92119,0.99069,0.9878,0.9946,0.93414,0.43132,0.25724,0.7688,0.000676802,0.000676802,0.000676802
62,5934.31,0.44784,0.29727,0.93369,0.99381,0.99962,0.995,0.94407,0.37945,0.23803,0.75137,0.000660299,0.000660299,0.000660299
63,6028.09,0.47065,0.32814,0.9508,0.95817,0.99075,0.99476,0.91189,0.65452,0.44723,1.01601,0.000643795,0.000643795,0.000643795
64,6122.01,0.45098,0.31805,0.93384,0.9954,1,0.995,0.94348,0.37663,0.22804,0.75202,0.000627292,0.000627292,0.000627292
65,6215.96,0.43381,0.31652,0.92907,0.98676,1,0.995,0.94426,0.37872,0.25591,0.75666,0.000610789,0.000610789,0.000610789
66,6309.7,0.44111,0.31526,0.94604,0.99683,1,0.995,0.93721,0.39201,0.2366,0.76289,0.000594286,0.000594286,0.000594286
67,6403.48,0.44098,0.30739,0.92548,0.99828,1,0.995,0.94655,0.38978,0.22945,0.76033,0.000577782,0.000577782,0.000577782
68,6498.83,0.40833,0.29595,0.92083,0.99872,1,0.995,0.94052,0.38384,0.23197,0.7523,0.000561279,0.000561279,0.000561279
69,6593.05,0.43948,0.29166,0.92801,0.99869,1,0.995,0.93156,0.39871,0.22114,0.74905,0.000544776,0.000544776,0.000544776
70,6687.78,0.43497,0.2944,0.93057,0.99824,1,0.995,0.94391,0.37764,0.21855,0.7378,0.000528272,0.000528272,0.000528272
71,6782.35,0.39924,0.29376,0.91321,0.99727,1,0.995,0.94765,0.37573,0.21799,0.74379,0.000511769,0.000511769,0.000511769
72,6876.63,0.41692,0.29949,0.93297,0.98557,1,0.99186,0.93835,0.37239,0.2249,0.74664,0.000495266,0.000495266,0.000495266
73,6971.12,0.41034,0.30549,0.9159,0.99728,1,0.995,0.94274,0.37922,0.21635,0.7564,0.000478762,0.000478762,0.000478762
74,7065.6,0.41838,0.29483,0.91336,0.99764,1,0.995,0.9511,0.35817,0.21282,0.74202,0.000462259,0.000462259,0.000462259
75,7160.03,0.3993,0.28812,0.91505,0.99859,1,0.995,0.94645,0.36666,0.21407,0.73763,0.000445756,0.000445756,0.000445756
76,7255.48,0.4144,0.28587,0.92495,0.99781,1,0.995,0.94683,0.36664,0.21075,0.74429,0.000429253,0.000429253,0.000429253
77,7350.82,0.39611,0.27118,0.91041,0.99795,1,0.995,0.95373,0.35749,0.2109,0.73496,0.000412749,0.000412749,0.000412749
78,7446.39,0.41226,0.27549,0.9235,0.99763,1,0.995,0.9539,0.35608,0.2057,0.73534,0.000396246,0.000396246,0.000396246
